会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせフォームURL
グローバルトランスポート株式会社,0,グローバルトランスポート株式会社は、自動車による貨物運送を行う会社である。集金、伝票処理、仕分け作業の含めた定期便をはじめスポット便、チャーター便などによる一般貨物運送を行う。日本国内を対象に鉄道・飛行機等の交通機関を利用したハンドキャリー便にも対応する。さらに、近畿エリアでの宅配事業、郵便物の収集、企業への配達、集荷業務も手掛ける。,"運輸・物流業界, 一般貨物輸送",〒 456-0051 東京都墨田区横川１丁目１１番５号,2011/2/3,川村 悦久,"10,000,000円","ハローワーク(就業場所愛知×事務職), 設立10年以内, indeed(要普通免許)",https://biz-maps.com/item/yP10EQgvlM,
株式会社ミツミ,0,"株式会社ミツミは、貨物自動車運送業を行っている会社である。その他に自動車部品の輸出入に伴う卸売業及び小売業、梱包資材の加工業、貨物の梱包及び包装並びに、倉庫保管取扱事業を手掛けている。運営するミツミエクスプレスは安全安心迅速に対応し、貨物自動車運送業を主体に緊急2t,4tの貨物の対応まで行っている。","運輸・物流業界, 運輸・物流業界, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送",〒 189-0023 東京都小平市小川西町３丁目１０番４号,1972/8/19,小野 武人,"50,000,000円",中小企業庁(事業再構築補助金・第5回),https://biz-maps.com/item/XyYKMNKjlg,
月島自動車交通株式会社,0,月島自動車交通株式会社は一般乗用旅客自動車運送事業を行う会社である。空港と各ゾーンを高速道路を利用して予め定められた運賃で送迎する空港送迎定額サービスがある。またハイブリッド車やクリーンディーゼル車を多数導入し地球環境の保全に努めたり、体が不自由な人が利用しやすい回転シート車両もある。そのほか品質マネジメントシステムISO9001認証を取得している。,"運輸・物流業界, タクシー",〒 125-0042 東京都江戸川区清新町１丁目４－５－２２０６,1950/8,山田 俊郎,"20,000,000円","グリーン経営, FROM40(製造・設備・運輸系)",https://biz-maps.com/item/3bZ93L2X15,
有限会社井出運輸,0,コンテナ集配を行う会社,"運輸・物流業界, 一般貨物輸送",〒 123-0864 東京都板橋区徳丸６丁目８番１４号,1966/11,松永 州韶,"3,000,000円","中途採用を複数媒体で行っている企業, はたらいく(運送), ドラEVER掲載企業, はたらいく, ドラEVER掲載企業",https://biz-maps.com/item/D3Ybr7J7Yz,
吉原鉄道工業株式会社,0,吉原鉄道工業株式会社は、鉄道に必要な線路の分岐器製品・踏切用品・鉄道通信用品を製造する会社である。吉原鉄道工業が造る部品の数は1万数千に上り、すべての製造工程において、コンピュータではなし得ない緻密な加工を熟練技術者の厳しい目で確認し、研ぎ澄まされた技で調整。転てつ付属装置の新幹線向けシェア100％。大正5年に国鉄より転てつ装置製作会社として指定されて以来、鉄道の安全と発展に貢献し続けている。,"運輸・物流業界, 鉄道",〒 170-0005 東京都北区田端６丁目１番１号,1939/1,小宮山 憲一,-,"BtoB業種, 設計・生産支援",https://biz-maps.com/item/5XY44jdrYE,
株式会社梯陵,0,株式会社梯陵は、物流システム構築・テレビ中継技術補助の会社である。商品の保管・管理、梱包・発送代行などを手掛けている。テレビ中継の架設工事や技術補助にも対応している。また建物の解体や内装工事、竣工クリーニングを行っている。,"運輸・物流業界, その他運輸・物流, 倉庫",〒 170-0002 東京都千代田区富士見１丁目５番４号飯田橋磐梯ビル２階,1988/8,里 勇司,"10,000,000円",-,https://biz-maps.com/item/WBlxWQ9e18,
巻田商事有限会社,0,巻田商事有限会社は主に産業廃棄物収集運搬業を事業としている企業である。一般貨物運送事業や貨物運送取扱事業、その他、不動産の管理並びに賃貸業も行っている。保有している車両はダンプ車を中心に13両で、取引先は中野区等である。 廃棄物を活かしての資源再生等環境に配慮した事業活動を行っている。,"その他サービス業界, 環境・廃棄物処理, 運輸・物流業界, 一般貨物輸送",〒 164-0013 東京都豊島区西巣鴨１丁目９番８号,1958/10,巻田 清司,"3,000,000円","運輸・運送, 運送業",https://biz-maps.com/item/PQ1pGRPYkg,
ＭＤロジスフィールドサービス株式会社,0,MDロジスフィールドサービス株式会社は、物流拠点における荷役サービスおよび付帯する業務を行う会社である。三菱電機グループの物流会社として、グローバルにロジスティクスサービスを展開する三菱ロジスティクス株式会社の国内輸配送ネットワークを構成する全国の物流拠点における荷役・配送等の物流アウトソーシングの提供を行っている。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 151-0073 東京都中野区中野４丁目１０番１号,/4/1,市橋 淳史,"50,000,000円","マイナビ転職(管理・事務×茨城・千葉検索), 今年求人を行なっている企業, リクナビ2025, 求人・転職・中途採用情報(募集人数10名以上), BtoB業種, 事業所数を20拠点以上保有している企業, 運送業",https://biz-maps.com/item/WQ183wwnY7,
ＭＤロジス株式会社,59,三菱電機ロジスティクス株式会社は、ロジスティクス事業、工場・事務所等の移転・引越事業、倉庫業、国際物流事業等を行う企業である。三菱電機グループの物流部門として設立され、人工衛星・家電品・半導体まで大小様々なグローバル物流に対応している。ビル建設時の設備機器搬入を一括代行したり、世界64ヶ国を結ぶグローバルネットワークによる国際物流ソリューションの提供を行っている。,"運輸・物流業界, 一般貨物輸送",〒 151-0073 東京都中野区中野４丁目１０番１号,1958/7/1,四方 壽一,"1,735,000,000円","マイナビ2026(インターン募集企業×東京・千葉・神奈川検索), 今年求人を行なっている企業, リクナビ2025, マイナビ2025, Doda(システムエンジニア募集企業・年収600万円以上), 人事部署直通@関東, マイナビ2023掲載企業, キーマンレター(掲載企業一覧), マイナビ2023 (21年11月), 「くるみん」認定企業, 内部統制・コンプライアンス推進企業, 海外進出企業、海外取引, 事業所数を20拠点以上保有している企業, 物流, 日本企業の中国ビジネス拠点, 東京倉庫協会, 上海日本商工クラブ(金融・保険・運輸・通信・サービス・社会事業・自動車分科会・化学品法制分科会), 一般社団法人国際フレイトフォワーダーズ協会, 協会・組合, ランキング",https://biz-maps.com/item/bdlA0wA1vL,
株式会社アウテック,0,株式会社アウテックは、東京都内及び近郊でハイヤーサービスを提供する会社である。成田空港送迎・羽田空港送迎、企業訪問などのVIPのビジネス利用やプライベート利用、ガイド付き東京観光や富士山観光、プロポーズやパーティーといったサプライズ案件にも対応。ビジネスレベルの英会話力を持つドライバー（プランナー）が多数在籍しているのが強み。イスラム教徒のスタッフ（シャリザル）も在籍し、ハラールに配慮している。,"運輸・物流業界, タクシー",〒 141-0031 東京都江東区有明３丁目６番１１号,2002/12/19,楠木 崇延,"50,000,000円","マイナビ2023 (21年11月), PRTIMES (21年10月), ブライダルサービス, TSUNORU@東京・大阪, 中小企業特化の就職活動(ツノル)2018, バス事業者, ツノル, オファーボックス, バス",https://biz-maps.com/item/9oZ38PEkYq,
株式会社サンノウ,0,株式会社サンノウは、一般貨物自動車運送業を行う会社である。お客様の用途に合わせて様々な運送業務を行っている。精密機器・AV機器・サーバーのように取り扱いに注意が必要なお品物の運送や、イベント・展示会等の搬出入なども承る。株式会社映像センター、ヒビノメディアテクニカル株式会社等が主要取引先である。,"運輸・物流業界, 機械輸送, 一般貨物輸送",〒 141-0031 東京都江東区東雲２丁目１４番３５号ＭＳ東雲ビル２Ｆ,1963/5,渡辺 真一,"12,000,000円","エンジャパン(外国語を活かす), エン転職",https://biz-maps.com/item/O2lg8eAOZn,
昭和配送株式会社,0,昭和配送株式会社は、紙、包装資材等の卸売及び運送会社である。日本橋に本社を置き、新木場に業界屈指の広さを誇る大型倉庫を保有し、関連会社である昭和配送株式会社が全国に向けての輸送を可能にしている。紙製品全般を取扱い、業務用印刷用紙、包装用紙をはじめ、家庭用のペーパータオルやトイレットペーパーなど紙に関わる全般の販売を行っている。,"運輸・物流業界, 重量物輸送, 倉庫",〒 136-0082 東京都中央区東日本橋２丁目２７番６号,/11/2,大辻 智,"15,800,000円",-,https://biz-maps.com/item/D3YboAp71z,
日本マントル・クエスト株式会社,0,日本マントル・クエスト株式会社は、海上掘削業務という専門的技術とその経験を活かして掘削業務を行う会社である。海洋科学調査計画に基づいた掘削業務を手掛けており、海底下数千メートル地点の地層まで掘進する計画等にも関わっており、24時間安全な作業を行う事のできるよう保守管理も徹底して行い、へリコプター運航管理業務も手掛けている。,"運輸・物流業界, 運輸・物流業界, 海運, 海運",〒 111-0052 東京都港区三田３丁目５番２７号,2008/9/10,石黒 裕康,"300,000,000円","運輸・物流関連企業@関東, SUBSEA TECH JAPAN2019(来場者), BtoB業種, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, ランキング, 連結子会社が多い企業ランキング",https://biz-maps.com/item/vx1jvj01Gg,
オペレイティング・コマース株式会社,0,オペレイティング・コマース株式会社は、軽貨物自動車運送事業を行う会社である。また、コンタクトセンター運営事業も手掛けている。オリックス株式会社、ココネット株式会社、オリックス自動車株式会社、SPRING株式会社、セイノーホールディングス株式会社などを取引先にもつ。,"運輸・物流業界, 一般貨物輸送",〒 106-0004 東京都港区南麻布２丁目１１番１０号,/3/28,山崎 玲,"10,000,000円",-,https://biz-maps.com/item/jg16rLx19G,
プロラインジャパン株式会社,0,プロラインジャパン株式会社は、海上や航空貨物のサービスを提供している会社である。有数の航空・海上貨物輸送の専門会社と名前を並べるプロライン海運の日本支社である。海上・航空貨物の一貫したサービスの実施、リースや貨物保管管理等の倉庫業、陸上輸送サービス、通関代行業、港湾荷役の仲介、貿易代行サービスなど様々な事業を展開している。,"運輸・物流業界, 海運",〒 105-0004 東京都中央区日本橋浜町３丁目３４番５号,2010/2,コソンゼ,-,運送業,https://biz-maps.com/item/WBlxEAX2Z8,
ロジスティードケミカル株式会社,0,ロジスティードケミカル株式会社は、化学品・危険物関係の物流を得意とする会社である。首都圏ケミカルセンターを新設し、東日本の物流拠点を集約。関東・関西の２つの物流センターを中心に、物流コスト削減とサービスの向上、環境にやさしい物流を実施する。現在、日立物流グループ会社として、日立化成株式会社の物流業務を受託。グローバルネットワーク網を活用し、モーダルシフトに向けて鉄道・船舶輸送を推進している。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 104-8350 東京都台東区上野１丁目１９番１０号,2011/1/1,中村 浩,"300,000,000円","マイナビ転職(管理・事務×茨城・千葉検索), 今年求人を行なっている企業, マイナビ2025, 求人ボックス(事務職×東京), 第16回東京総務・人事・経理Week2021(来場者), 働き方改革EXPO2021(来場者), 海外に拠点がある企業(売上100億～1000億)@一都三県・東名阪, 事業所数を20拠点以上保有している企業, 平均年収.com(運輸・物流系企業子会社), グリーン経営, Sierグループ企業, 運送業, 系列会社",https://biz-maps.com/item/D3Yb3e471z,
ＬＸ　ＰＡＮＴＯＳ　ＪＡＰＡＮ株式会社,0,パントスジャパン株式会社は、総合物流会社である。韓国LGグループのグループ会社であり、指定物流会社として海運・航空に関する国際物流業務全般を手掛けている。現在、世界44か国に349のネットワークを有し、世界市場を視野にいれた活動を展開している。また、国内物流部は、車両手配や倉庫での仕分けなど総合的な輸送作業を一括して請け負っている。,"運輸・物流業界, 海運",〒 104-0031 東京都千代田区大手町１丁目７番２号,2002/5,ヒヨン 甲洙,"50,000,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, エン転職(掲載期間1208_1221), 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 運送業, マイナビ女性のお仕事",https://biz-maps.com/item/3bZ9ar0OZ5,
ヒレブラントゴリジャパン株式会社,0,ジェイ・エフ・ヒレブラントジャパン株式会社は、ドイツに本社を構えるJFHillebrand社の日本支社で、ワインやビールなど酒類の輸送に特化した物流会社である。世界中に拠点を設け、グローバルネットワークを確立しており、厳重な温度・湿度管理技術で、飲み物の香りや風味を損なうことなく輸送できるのが特徴。,"運輸・物流業界, 海運, 空運",〒 103-0013 東京都千代田区神田駿河台２丁目５番１２号,1993/10,関口 幸代,"10,000,000円",-,https://biz-maps.com/item/3bZ9ao72Z5,
ホーグオートライナーズ株式会社,0,ホーグオートライナーズ株式会社は、国際海運業、不動産業、金融アドバイザリーサービスを行う会社である。液化天然ガス運搬船・自動車運搬船、石油・バルク・鉱石の複合運搬船、特殊な林産物運搬船、LNG再ガス化船、石油タンカーの運行、投資戦略サービス、財務ポートフォリオ管理、不動産の開発・管理、ロジスティクスソリューション等を行っている。,"運輸・物流業界, 海運",〒 100-0013 東京都港区虎ノ門１丁目２３番１号虎ノ門ヒルズ森タワー１８階,1986/3,ハンセン・ペール・ドランゲ,"10,000,000円","運輸・物流関連企業@関東, 外資系企業",https://biz-maps.com/item/oelOLMmLZA,
京葉アドバンス物流株式会社,0,京葉アドバンス物流株式会社は、倉庫業および運輸業を展開している会社である。徹底した管理体制のもと、精密機械から文書まで商品・物品の保管、入出庫、梱包、発送等を行っている。また、精密機械等の運搬、解錠設置を行い、搬出入から据付までをサポート。3t車・2t車・2tCNG車・ワゴン車・軽ワゴン車等様々な車両を用意しており、クライアントの営業活動を支援している。,"運輸・物流業界, 倉庫, 倉庫, 一般貨物輸送, 一般貨物輸送",〒 272-0004 東京都江戸川区松江２丁目２１番１４号Ｃ,/3,小宮 泰彦,"50,000,000円","リサイクル・廃棄物処理, 倉庫保有, トラック協会会員企業, 運送業, 協会・組合, 倉庫保有",https://biz-maps.com/item/XyYKAokJlg,
株式会社アイベックス,0,株式会社アイベックスは、テレビ番組撮影や映画製作、ニュースの中継などで利用される、ロケバスの運営を行う企業である。車輌はマイクロバス、ビックバン、タレントワゴン、制作ワゴン、コミューターワゴンを用意し、経験豊富で、現場の要求に素早く対応できるドライバーの採用を行っている。その他、ロケバス保険の取り扱いも行う。,"運輸・物流業界, バス, テレビ番組制作",〒 140-0012 東京都品川区勝島1丁目4番11号、東京倉庫311B,1997/9,多田 亮介,"22,000,000円",-,https://biz-maps.com/item/6p1X8Aap1N,
株式会社ハーツ,0,株式会社ハーツは、平成7年設立の運転手付レンタルトラック「レンタル便」、廃棄物処分「エコ・ユウセン」、定期的運送「レントラ定期便」等の運営を行う会社。「レントラ便」は時間制料金を採用、時間内であれば追加料金なしで往復等が可能である。不要品の回収、エアコン設置等のオプションサービスも充実、オンラインで簡単に見積り・予約・キャンセルができる。,"運輸・物流業界, 一般貨物輸送, レンタカー・リース",〒 140-0013 東京都品川区南大井5丁目12番3号,/10/1,山口 裕詮,"13,000,000円","折込チラシナビ(スーパー), タウンワーク(送迎あり), アクティブシニア活用, 社会保険労務士, リサイクル・廃棄物処理, PRwier(新着プレスリリース掲載企業), 東京商工会議所, 運送業",https://biz-maps.com/item/KL1mbzJ8ly,
関東運輸情報株式会社,0,関東運輸情報株式会社は、輸送コストの効率化を行う会社である。契約しているクライアントの荷物を降ろした後のトラックが拠点に帰る時の情報を収集し、無駄な空車を出さないように利用希望者を斡旋している。関東圏に荷物を届けた後、地元に戻るルートに乗せる荷物の斡旋を中心に手配をしている。主要取引銀行は、三井住友銀行等である。,"運輸・物流業界, 一般貨物輸送","〒 136-0071 ""東京都江東区亀戸6-57-20 FUJISAKI KAMEIDO東口ビル8F """,1996/3/28,鈴木 英一,"10,000,000円",運送業,https://biz-maps.com/item/0mlzWoKDZO,
株式会社アサヒエクス,0,株式会社アサヒエクスは、一般貨物自動車運送事業、各種梱包加工並びに発送、保管、管理を行う事業、単身の引っ越しから事業所移転、エアコンやピアノの移転まで行う引っ越し業務を行う企業である。主要取引先は、株式会社湊工芸、株式会社貿易広告社、東海東京証券株式会社、日建製造株式会社、あいおいニッセイ同和損保株式会社、株式会社ソーア、三井住友火災海上保険株式会社である。,"運輸・物流業界, 一般貨物輸送",〒 135-0002 東京都江東区住吉2-25-2,1993/6,戸田 その子,"10,000,000円",-,https://biz-maps.com/item/KL1mbzx8ly,
株式会社東京桐生運輸,0,株式会社東京桐生運輸は、運送業等を行う会社である。昭和58年創業の信頼と実績を持つことが強み。2トン車貸し切り便をはじめ、アルミバン2トンロング車、産業廃棄物処理業、軽自動車によるスポット便、引越業務、メール便、アパレル関連の配送、大手引越センターからの引越業務請負等多様なサービスを提供している。,"運輸・物流業界, 一般貨物輸送",〒 135-0062 東京都江東区東雲2-3-27-508,1985/7/17,桐生 顕,-,-,https://biz-maps.com/item/b7lQob2EYr,
