会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせURL,問い合わせフォームURL
丸伊運輸株式会社,0,丸伊運輸株式会社は、塗装配送、倉庫業、梱包業、不動産の賃貸を行う会社である。特にペンキの輸送に特化しており、また保管(保管、配送、梱包)と輸送の業務を一元して行うことでお客様のニーズに対応できることが強みである。迅速・確実・親切・丁寧をモットーにし、小口貨物輸送を展開。,"運輸・物流業界, 一般貨物輸送",〒 578-0957 神奈川県横浜市中区太田町６丁目８４番地２大樹生命横浜桜木町ビル６階,1950/11/15,青木 数磨,"38,000,000円",-,https://biz-maps.com/item/0mlzkqnMZO,,http://www.maruiunyu.co.jp/contact.html
株式会社鴻巣植物運輸,0,株式会社鴻巣植物運輸は一般区域貨物自動車運送事業などを行っている会社である。昭和59年6月6日に設立し、愛知県田原市に本社を構える。独自のネットワークで、全国の生産農業から花市場まで、運行を行っている。独自のネットワークにより、市場にて購入のあった花きを素早くピックアップし、迅速に、店舗や施設などに向けて対応を行っている。,"運輸・物流業界, 一般貨物輸送",〒 441-3501 埼玉県鴻巣市寺谷１２５番地,1984/6/6,石川 英樹,"30,000,000円",-,https://biz-maps.com/item/bdlA69QRZv,,http://ftk1187.co.jp/contact/
日通湘南物流株式会社,0,日通湘南物流株式会社は、日本通運株式会社の横浜統括支店管内の現業として、各支店の運送業務・倉庫内荷役業務・荷造り業務等を行う会社。顧客のニーズに合った様々な種類の車両を使用できることが特徴。全国日本トラック協会に加盟している。また、駐車場管理業務も行う。その他、一般労働者派遣事業や、産業廃棄物運搬収集事業等も手掛けている。,"運輸・物流業界, 一般貨物輸送, その他業務請負",〒 247-0061 神奈川県平塚市西真土２丁目１－１４,1976/2/2,上地康司,"30,000,000円",運送業,https://biz-maps.com/item/KL1mK7q7Zy,,
ランパックＴＣ株式会社,0,ランパックTC株式会社は、配送サービスを行う会社である。2010年設立、神奈川県川崎市川崎区に本社を、横浜市港北区に港北センターを置き、依頼先メーカーと協力会社・納品配送先を結ぶ物流ソリューションを提供する。業務委託で独立開業をする人を対象に説明会を開催し、車両の無料貸し出しなどのサポートも行っている。,"運輸・物流業界, 一般貨物輸送",〒 210-0823 神奈川県横浜市都筑区仲町台４丁目１番２号,2010/2,波多 欣也,"30,200,000円","運送業, indeed(要普通免許), indeed",https://biz-maps.com/item/0W1wpN75lB,,
井上店舗設備株式会社,0,井上店舗設備株式会社は関東地方を中心にスーパーやコンビニの魚や肉・野菜を陳列するショーケースの運搬から設置、また冷凍機器設置を行う企業である。「正確・敏速・丁寧」をモットーにメーカー・配管・装飾の他業種が連携している。また社員はフロンガス回収やガス溶接許可・高所作業車などの資格を取得している。,"その他サービス業界, その他サービス, 一般貨物輸送",〒 125-0062 埼玉県八潮市大字南川崎５７４番地１,1989/4/20,井上 勲,"10,000,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, ハローワーク(外国人)@東京・栃木・埼玉, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 運送業",https://biz-maps.com/item/qKYMbj91gJ,,https://inouetenpo.com/inquiry/
金子運送株式会社,0,金子運送株式会社は、トラック運送に取り組んでいる会社である。取り扱っている荷物は主に建設用の資材・部材・機材・製品であり、この他に各種機械器具の運搬や設置も行う。「最新の荷重計を装着した、移動式クレーンのある車両を導入する」など徹底した安全管理から、「安全性優良事業所」としてGマークを取得しているのが特徴である。,"運輸・物流業界, 重量物輸送, 倉庫",〒 121-0831 埼玉県さいたま市岩槻区美園東２丁目１６－２２ＡＲＯＮＡｃｏｕｒｔ美園１０１号,1978/6,金子永,"30,000,000円","今年求人を行なっている企業, リクナビ2025, 運送業",https://biz-maps.com/item/WBlxeqyZ8a,,http://www.kaneko-transp.co.jp/contact.html
株式会社丸喜運輸,0,株式会社丸喜運輸は、貨物運送業を行っている会社である。その他に荷物取扱業、倉庫業を手掛けている。生産地と販売の現場を結ぶ安心、安全なパイプラインとして、冷凍車、冷蔵車、保冷車など計70台以上を揃えている。新鮮なものを新鮮なまま、商品の新鮮さを大事に、配送する食品に合わせた適切な温度管理のもと顧客のニーズに合わせ運送する。,"運輸・物流業界, 冷凍冷蔵車運行",〒 177-0051 埼玉県所沢市東所沢４丁目１９番地１１,/10,田中 喜久男,"20,000,000円",-,https://biz-maps.com/item/kDZrkMnyYG,,
株式会社トーハンロジテックス,0,東販自動車株式会社は、輸送業務を行う会社である。1958年会社設立。トーハングループの一員であり、グループの物流関連事業部門に属する。グループの親会社で、各種出版物や音楽・ゲームソフトなどを取次販売している『株式会社トーハン』の書籍や雑誌などのトラックによる輸送業務を行っている。他に電報事業なども手掛けている。,"運輸・物流業界, 一般貨物輸送",〒 174-8737 埼玉県桶川市大字上日出谷１２０２番地の１,1958/1/23,栃木 裕史,"90,000,000円","新規事業開発企業, キャンペーン実施企業, 学校施設・サービス, 運送業",https://biz-maps.com/item/kVZEBJjmYE,,https://www.tohan-logi.co.jp/contact/
大聖陸運株式会社,0,大聖陸運株式会社は貨物自動車運送事業を行う会社である。東京都品川区に本社を構え、千葉県に支店を置いている。大型トラクタ42台、トレーラー98台、4tウイング4台の144台を所有している。東京港をメインとした配送で、海上コンテナ輸送を行っている。東京港は日本を代表する港で一番輸出･輸入量が多く、日本の輸出･輸入を支える役目を担っている。,"運輸・物流業界, 一般貨物輸送",〒 104-0033 千葉県八街市八街い５１番地３２,/6/1,山元 憲明,"10,000,000円","有料職業紹介事業@一都三県, 海外進出企業、海外取引, 運送業, google(海上コンテナ・千葉)",https://biz-maps.com/item/qJ15m4pL1P,,https://daisei-rikuun.com/contact/
株式会社ＫＥＮＳ,0,株式会社KENSは商品の検品・検針業務を行う企業である。主な事業内容は販促物全般の検品・検針・X線検査・セットアップ作業、ビール・菓子・カタログギフト等のギフトセットの包装・箱折り作業、封筒・化粧箱・販促什器の製作、物流発送、倉庫保管等。年間1000以上の商品アイテムを検品・検針しており、豊富な商品知識や実績、経験が強み。,"運輸・物流業界, 倉庫",〒 104-0061 千葉県八千代市島田台９８５番地,2013/3/1,佐久間 賢治,"10,000,000円",-,https://biz-maps.com/item/qKYMaqMrYg,,http://kens-ltd.com/contact/index.html
株式会社高塚商事,0,株式会社高塚商事は、輸出入業務を行っている会社である。主な事業内容として、梱包事業・輸出入一貫管理システムの提案が挙げられる。顧客に対し、荷物の内容に関わらず梱包には細心の注意を払い作業を行っている。また、必要最小限の梱包資材を最大限に有効利用することで、低コストで安全・確実な梱包サービスを提供している。,"運輸・物流業界, 倉庫, 倉庫",〒 287-0801 千葉県山武郡芝山町岩山１４８番地１５,/3,高塚 慎吾,"10,000,000円",youtube,https://biz-maps.com/item/jVYqXGjPZJ,,http://takatuka.co.jp/contact.html
有限会社房総エキスプレス,0,有限会社房総エキスプレスは、貸切バス事業を行っている会社である。簡単な送迎から合宿や観光まで、用途に応じた大きさのバスが揃っている。トラベル業も行っているため、自社企画でのバスツアーも開催できるのが強みである。また、レンタカー事業も行っており、10分100円からでレンタルできる「100円レンタカー」の加盟店でもある。,"運輸・物流業界, バス, 旅行",〒 292-0825 千葉県木更津市羽鳥野２丁目１０番地６,1999/10,溝口 篤志,"3,000,000円",-,https://biz-maps.com/item/WBlxK7rw18,,http://boso-ex.com/contact/
